,IDPelanggan,Kelamin,Usia,Pendapatan (juta Rp),Rating_pengeluaran (1-100),cluster
0,1,Laki,19,15,39,4
1,2,Laki,21,15,81,3
2,3,Perempuan,20,16,6,4
3,4,Perempuan,23,16,77,3
4,5,Perempuan,31,17,40,4
5,6,Perempuan,22,17,76,3
6,7,Perempuan,35,18,6,4
7,8,Perempuan,23,18,94,3
8,9,Laki,64,19,3,4
9,10,Perempuan,30,19,72,3
10,11,Laki,67,19,14,4
11,12,Perempuan,35,19,99,3
12,13,Perempuan,58,20,15,4
13,14,Perempuan,24,20,77,3
14,15,Laki,37,20,13,4
15,16,Laki,22,20,79,3
16,17,Perempuan,35,21,35,4
17,18,Laki,20,21,66,3
18,19,Laki,52,23,29,4
19,20,Perempuan,35,23,98,3
20,21,Laki,35,24,35,4
21,22,Laki,25,24,73,3
22,23,Perempuan,46,25,5,4
23,24,Laki,31,25,73,3
24,25,Perempuan,54,28,14,4
25,26,Laki,29,28,82,3
26,27,Perempuan,45,28,32,4
27,28,Laki,35,28,61,3
28,29,Perempuan,40,29,31,4
29,30,Perempuan,23,29,87,3
30,31,Laki,60,30,4,4
31,32,Perempuan,21,30,73,3
32,33,Laki,53,33,4,4
33,34,Laki,18,33,92,3
34,35,Perempuan,49,33,14,4
35,36,Perempuan,21,33,81,3
36,37,Perempuan,42,34,17,4
37,38,Perempuan,30,34,73,3
38,39,Perempuan,36,37,26,4
39,40,Perempuan,20,37,75,3
40,41,Perempuan,65,38,35,4
41,42,Laki,24,38,92,3
42,43,Laki,48,39,36,4
43,44,Perempuan,31,39,61,1
44,45,Perempuan,49,39,28,4
45,46,Perempuan,24,39,65,1
46,47,Perempuan,50,40,55,1
47,48,Perempuan,27,40,47,1
48,49,Perempuan,29,40,42,1
49,50,Perempuan,31,40,42,1
50,51,Perempuan,49,42,52,1
51,52,Laki,33,42,60,1
52,53,Perempuan,31,43,54,1
53,54,Laki,59,43,60,1
54,55,Perempuan,50,43,45,1
55,56,Laki,47,43,41,1
56,57,Perempuan,51,44,50,1
57,58,Laki,69,44,46,1
58,59,Perempuan,27,46,51,1
59,60,Laki,53,46,46,1
60,61,Laki,70,46,56,1
61,62,Laki,19,46,55,1
62,63,Perempuan,67,47,52,1
63,64,Perempuan,54,47,59,1
64,65,Laki,63,48,51,1
65,66,Laki,18,48,59,1
66,67,Perempuan,43,48,50,1
67,68,Perempuan,68,48,48,1
68,69,Laki,19,48,59,1
69,70,Perempuan,32,48,47,1
70,71,Laki,70,49,55,1
71,72,Perempuan,47,49,42,1
72,73,Perempuan,60,50,49,1
73,74,Perempuan,60,50,56,1
74,75,Laki,59,54,47,1
75,76,Laki,26,54,54,1
76,77,Perempuan,45,54,53,1
77,78,Laki,40,54,48,1
